PLAYER,teamid,p11-id,MATCHES,INNINGS,Runs,HS,Ave,SR,100,50,BOWLING,WKTS,BBM,Ave,Econ,SR,4W,5W
RG SHARMA,0,0,188,183,4898,109*,31.6,130.82,1,36,30,15, 2/3,29.33,7.95,22.13,1,0
DE COCK,0,0,50,50,1456,108,30.33,131.28,1,10,0,0,0,0,0,0,0,0
HARDIK PANDYA,0,0,66,61,1068,91,28.86,154.78,0,3,60,42,  3/20,31.26,9.07,20.69,0,0
KIERON POLLARD ,0,0,148,135,1770,83,34.87,146.77,0,14,81,56,  1/11,31.6,8.85,21.41,1,0
KRUNAL PANDYA,0,0,55,48,891,86,26.2,146.06,0,1,53,40,  3/14,28.2,7.16,23.6,0,0
JASPRIT BUMRAH,0,0,77,12,35,16,11.66,92.1,0,0,77,82, 3/7,26.59,7.55,21.12,0,0
SURYAKUMAR YADAV,0,0,85,71,1548,72,28.14,131.96,0,7,1,0,0/0,0,8,0,0,0
ISHAN KKISHAN,0,0,37,33,695,62,21.06,130.88,0,3,0,0,0,0,0,0,0,0
rahul chahar,0,0,16,5,15,10,7.5,115.38,0,0,15,15,  3/19,24.4,6.77,21.6,0,0
ALZARRI JOSEPH,0,0,3,2,15,15,0,115.38,0,0,3,6,  1/2 ,14.5,10.03,8.66,0,1
MITCHELL MCCLENAGHAN,0,0,56,24,85,20,6.53,121.42,0,0,56,71,  4/21,25.39,8.49,17.94,1,0
MS DHONI,1,0,190,170,4432,84,42.21,137.85,0,23,0,0,0,0,0,0,0,0
SURESH RAINA,1,0,193,189,5368,100,33.34,137.11,1,38,69,25,2/0,44.72,7.39,36.32,0,0
AMBARI RAYUDU,1,0,147,140,3300,100,28.7,125.95,1,18,0,0,0,0,0,0,0,0
FAF DU PLESIS,1,0,71,64,1853,96,31.41,126.74,0,12,1,0,0/16,0,16,0,0,0
DWAYNE BRAVO,1,0,134,102,1483,70,23.17,128.29,0,5,131,147,  2/11,24.61,8.4,17.59,2,0
SHANE WATSON,1,0,134,130,3575,117,31.09,139.54,4,19,105,92,  4/29,29.15,7.93,22.05,1,0
KEDAR JADHAV,1,0,79,70,1079,69,22.96,126.49,0,4,0,0,0,0,0,0,0,0
RAVINDRA JADEJA,1,0,170,128,1927,48,24.09,122.66,0,0,142,108,  5/16,29.19,7.58,23.1,3,1
IMRAN TAHIR,1,0,55,8,20,5,5,74.07,0,0,55,79,  1/3 ,20.39,7.88,15.52,3,0
MOHIT SHARMA,1,0,85,27,122,21,8.13,104.27,0,0,85,91,  2/7 ,26.65,8.41,19.01,1,0
DEEPAK CHAHAR,1,0,34,7,71,39,11.83,161.36,0,0,34,33,  1/5 ,26.52,7.63,20.85,0,0
